Shiva Shree Hydropower Ltd,298.90,300.00,283.00,293.00,17379.00
SHIVAM CEMENTS LTD,936.50,950.00,909.50,915.00,39571.00
Shree Investment Finance Co. Ltd.,375.00,392.50,368.00,374.60,16081.00
Siddhartha Bank Limited,398.00,405.90,392.50,393.00,21520.00
Siddhartha Bank Limited Promoter Share,270.00,270.00,270.00,270.00,56739.00
Siddhartha Equity Fund,10.96,10.98,10.77,10.98,3550.00
Siddhartha Insurance Ltd.,780.00,796.00,770.00,783.00,6902.00
Siddhartha Investment Growth Scheme - 2,10.85,11.06,10.64,10.65,82100.00
Sindhu Bikash Bank Ltd,340.90,347.00,329.10,330.00,6065.00
Singati Hydro Energy Limited,350.00,364.00,336.00,340.00,21527.00
Soaltee Hotel Limited,230.80,229.90,225.20,227.00,20035.00
Standard Chartered Bank Limited,438.50,447.20,438.10,439.00,4135.00
Summit Laghubitta Bittiya Sanstha Limited,1081.00,1102.00,998.00,1049.90,1297.00
Sunrise Bank Limited,239.00,239.00,235.10,236.40,12598.00
Sunrise Bluechip Fund,8.40,8.50,8.19,8.50,7600.00
Sunrise First Mutual Fund,11.93,11.80,11.53,11.53,75715.00
Surya Life Insurance Company Limited,634.90,636.00,621.10,625.00,17743.00
Swabalamban Laghubitta Bittiya Sanstha Limited,1164.00,1163.00,1141.10,1158.00,1703.00
Swabhimaan Laghubitta Bittiya Sanstha Limited,1600.00,1600.00,1568.10,1600.00,335.00
Swarojgar Laghu Bitta Bikas Bank Ltd.,943.00,955.00,922.20,922.20,2875.00
Synergy Power Development Ltd.,367.00,374.00,361.00,361.00,43686.00
Taragaon Regency Hotel Limited,364.80,365.00,357.70,362.00,2410.00
Terhathum Power Company Limited,478.00,495.00,465.10,469.00,5587.00
Unilever Nepal Limited,19299.00,18950.00,18600.00,18950.00,60.00
Union Hydropower Limited,289.00,294.00,279.40,285.00,7732.00
Union Life Insurance Company Limited,605.00,612.00,589.20,590.10,17425.00
United IDI Mardi RB Hydropower Limited.,857.00,879.20,841.00,841.00,3875.00
United Insurance Co. (Nepal) Ltd.,570.00,588.50,551.00,559.90,12654.00
United Modi Hydropower Ltd.,298.00,305.00,289.10,292.60,28921.00
UNIVERSAL POWER COMPANY LTD,260.00,267.10,254.90,256.00,52749.00
Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,1342.00,1350.00,1342.00,1342.00,144.00
Upper Tamakoshi Hydropower Ltd,522.00,532.40,517.50,521.00,35169.00
Vijaya laghubitta Bittiya Sanstha Ltd.,1086.00,1090.00,1054.00,1055.00,2424.00
Wean Nepal Laghubitta Bittiya Sanstha Limited,1240.00,1321.00,1221.00,1230.30,544.00
Page 12/12 «First ‹Prev 101112,nan,Page 12/12 «First ‹Prev 101112,Page 12/12 «First ‹Prev 101112,Page 12/12 «First ‹Prev 101112,Page 12/12 «First ‹Prev 101112
Total Amount Rs.,1496246808,1496246808,1496246808,1496246808,1496246808
Total Quantity,4574520,4574520,4574520,4574520,4574520
